 ,Area,Mean,Min,Max,X,Y
1,0.000,24,24,24,111.000,0.000
2,0.000,225,225,225,123.000,5.250
3,0.000,72,72,72,135.750,5.250
4,0.000,55,55,55,129.750,26.250
5,0.000,175,175,175,117.000,20.250
6,0.000,65,65,65,102.750,18.000
7,0.000,97,97,97,99.750,25.500
8,0.000,158,158,158,114.750,30.750
9,0.000,77,77,77,128.250,32.250
10,0.000,34,34,34,123.000,53.250
11,0.000,68,68,68,110.250,48.750
12,0.000,62,62,62,95.250,46.500
13,0.000,61,61,61,91.500,55.500
14,0.000,66,66,66,107.250,60.000
15,0.000,34,34,34,120.750,62.250
16,0.000,50,50,50,116.250,87.000
17,0.000,126,126,126,103.500,80.250
18,0.000,94,94,94,86.250,77.250
19,0.000,62,62,62,81.000,88.500
20,0.000,138,138,138,97.500,93.000
21,0.000,47,47,47,113.250,93.000
22,0.000,54,54,54,110.250,118.500
23,0.000,54,54,54,93.000,114.000
24,0.000,83,83,83,76.500,112.500
25,0.000,79,79,79,72.750,126.000
26,0.000,119,119,119,92.250,128.250
27,0.000,51,51,51,109.500,124.500
28,0.000,28,28,28,110.250,149.250
29,0.000,52,52,52,90.750,148.500
30,0.000,53,53,53,73.500,151.500
31,0.000,46,46,46,73.500,159.000
32,0.000,112,112,112,90.750,160.500
33,0.000,116,116,116,106.500,156.000
34,0.000,43,43,43,113.250,177.000
35,0.000,99,99,99,97.500,177.750
36,0.000,27,27,27,78.750,186.000
37,0.000,49,49,49,84.000,195.750
38,0.000,114,114,114,99.750,191.250
39,0.000,67,67,67,114.000,181.500
40,0.000,68,68,68,124.500,199.500
41,0.000,54,54,54,111.750,204.750
42,0.000,17,17,17,96.750,219.750
