 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,248,248,248,133.374,239.557,10
2,0.000,407,407,407,144.156,237.213,10
3,0.000,306,306,306,154.470,236.510,10
4,0.000,239,239,239,150.250,217.992,10
5,0.000,600,600,600,139.468,222.446,10
6,0.000,203,203,203,129.154,223.383,10
7,0.000,310,310,310,128.686,221.274,10
8,0.000,341,341,341,140.171,217.992,10
9,0.000,257,257,257,150.250,216.351,10
10,0.000,366,366,366,144.156,199.240,10
11,0.000,401,401,401,135.249,203.225,10
12,0.000,457,457,457,125.873,206.506,10
13,0.000,305,305,305,124.935,204.162,10
14,0.000,334,334,334,133.139,199.709,10
15,0.000,241,241,241,143.218,197.365,10
16,0.000,126,126,126,135.249,180.488,10
17,0.000,313,313,313,129.154,184.473,10
18,0.000,474,474,474,119.310,187.989,10
19,0.000,400,400,400,116.966,184.942,10
20,0.000,299,299,299,124.232,180.488,10
21,0.000,249,249,249,134.311,177.910,10
22,0.000,179,179,179,125.638,162.674,10
23,0.000,289,289,289,120.013,165.486,10
24,0.000,245,245,245,111.809,168.299,10
25,0.000,167,167,167,110.168,165.955,10
26,0.000,357,357,357,116.731,161.970,10
27,0.000,266,266,266,125.170,159.626,10
28,0.000,404,404,404,118.372,144.625,10
29,0.000,392,392,392,112.746,147.203,10
30,0.000,136,136,136,105.246,150.016,10
31,0.000,459,459,459,103.605,145.797,10
32,0.000,447,447,447,110.402,142.984,10
33,0.000,462,462,462,118.372,141.812,10
34,0.000,375,375,375,113.450,128.686,10
35,0.000,356,356,356,108.996,130.092,10
36,0.000,265,265,265,100.558,134.311,10
37,0.000,316,316,316,100.323,130.561,10
38,0.000,437,437,437,106.886,127.279,10
39,0.000,493,493,493,115.559,125.170,10
40,0.000,460,460,460,112.278,114.387,10
41,0.000,309,309,309,107.824,116.028,10
42,0.000,320,320,320,98.917,120.247,10
43,0.000,501,501,501,96.104,116.966,10
44,0.000,480,480,480,104.542,112.981,10
45,0.000,530,530,530,111.809,112.512,10
46,0.000,526,526,526,107.355,99.151,10
47,0.000,419,419,419,103.370,100.558,10
48,0.000,457,457,457,96.104,105.011,10
49,0.000,821,821,821,93.994,100.089,10
50,0.000,621,621,621,101.026,96.807,10
51,0.000,597,597,597,107.824,96.104,10
52,0.000,521,521,521,107.824,84.384,10
53,0.000,421,421,421,100.089,84.618,10
54,0.000,201,201,201,92.354,87.900,10
55,0.000,409,409,409,91.650,84.384,10
56,0.000,526,526,526,98.917,80.399,10
57,0.000,162,162,162,108.527,80.634,10
58,0.000,275,275,275,108.058,65.163,10
59,0.000,296,296,296,98.682,67.742,10
60,0.000,219,219,219,90.947,69.382,10
