 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,140,140,140,134.013,204.938,11
2,0.000,405,405,405,147.532,195.534,11
3,0.000,151,151,151,163.794,193.575,11
4,0.000,339,339,339,157.328,168.300,11
5,0.000,308,308,308,143.810,173.394,11
6,0.000,382,382,382,126.960,175.941,11
7,0.000,238,238,238,125.001,164.970,11
8,0.000,326,326,326,138.324,161.051,11
9,0.000,309,309,309,155.369,160.659,11
10,0.000,420,420,420,153.606,135.581,11
11,0.000,336,336,336,139.891,137.736,11
12,0.000,226,226,226,123.237,137.344,11
13,0.000,223,223,223,123.433,127.156,11
14,0.000,316,316,316,137.932,124.805,11
15,0.000,268,268,268,153.214,127.744,11
16,0.000,376,376,376,155.173,100.510,11
17,0.000,329,329,329,141.067,103.057,11
18,0.000,308,308,308,125.980,99.922,11
19,0.000,261,261,261,127.156,90.714,11
20,0.000,284,284,284,141.850,89.538,11
21,0.000,293,293,293,156.545,93.065,11
22,0.000,424,424,424,158.112,66.615,11
23,0.000,384,384,384,146.161,67.203,11
24,0.000,288,288,288,131.074,64.460,11
25,0.000,245,245,245,131.466,56.231,11
26,0.000,342,342,342,144.789,56.623,11
27,0.000,267,267,267,158.896,58.974,11
28,0.000,213,213,213,159.484,32.916,11
29,0.000,270,270,270,147.924,33.307,11
30,0.000,412,412,412,135.385,31.348,11
31,0.000,152,152,152,135.581,24.883,11
32,0.000,448,448,448,146.748,23.707,11
33,0.000,355,355,355,160.267,26.254,11
34,0.000,336,336,336,163.402,2.547,11
35,0.000,362,362,362,151.255,3.135,11
36,0.000,376,376,376,138.520,1.959,11
