 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,327,327,327,127.662,217.342,9
2,0.000,490,490,490,139.901,210.168,9
3,0.000,468,468,468,154.039,206.370,9
4,0.000,297,297,297,148.763,184.213,9
5,0.000,506,506,506,135.048,188.434,9
6,0.000,501,501,501,119.644,193.076,9
7,0.000,583,583,583,110.781,188.645,9
8,0.000,376,376,376,125.341,181.681,9
9,0.000,260,260,260,143.277,177.883,9
10,0.000,380,380,380,130.616,155.516,9
11,0.000,303,303,303,117.112,161.635,9
12,0.000,298,298,298,103.185,164.167,9
13,0.000,282,282,282,100.442,148.130,9
14,0.000,200,200,200,113.102,147.708,9
15,0.000,303,303,303,126.607,152.140,9
16,0.000,452,452,452,129.139,136.314,9
17,0.000,172,172,172,116.268,139.901,9
18,0.000,249,249,249,102.763,137.580,9
19,0.000,195,195,195,113.735,109.093,9
20,0.000,308,308,308,124.075,113.102,9
21,0.000,248,248,248,134.415,116.690,9
22,0.000,424,424,424,140.323,102.974,9
23,0.000,360,360,360,128.295,101.075,9
24,0.000,407,407,407,116.479,96.432,9
25,0.000,147,147,147,121.965,88.625,9
26,0.000,317,317,317,132.093,92.634,9
27,0.000,415,415,415,144.543,98.965,9
28,0.000,414,414,414,154.250,75.120,9
29,0.000,547,547,547,142.644,73.010,9
30,0.000,459,459,459,131.249,66.891,9
31,0.000,335,335,335,135.259,60.349,9
32,0.000,467,467,467,144.121,62.882,9
33,0.000,265,265,265,156.571,70.478,9
34,0.000,253,253,253,168.388,48.533,9
35,0.000,560,560,560,154.250,44.946,9
36,0.000,395,395,395,140.534,38.826,9
37,0.000,387,387,387,146.864,34.184,9
38,0.000,431,431,431,156.360,38.193,9
39,0.000,280,280,280,169.232,45.157,9
40,0.000,421,421,421,181.048,25.954,9
41,0.000,456,456,456,166.066,21.734,9
42,0.000,404,404,404,154.461,17.092,9
