 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,288,288,288,109.523,233.935,9
2,0.000,464,464,464,119.711,223.355,9
3,0.000,468,468,468,134.797,217.478,9
4,0.000,281,281,281,124.413,199.061,9
5,0.000,373,373,373,109.523,201.804,9
6,0.000,343,343,343,96.004,210.033,9
7,0.000,421,421,421,91.497,191.811,9
8,0.000,324,324,324,106.780,188.677,9
9,0.000,321,321,321,123.041,189.460,9
10,0.000,405,405,405,124.413,166.341,9
11,0.000,422,422,422,109.327,167.321,9
12,0.000,284,284,284,91.693,167.125,9
13,0.000,202,202,202,91.693,153.998,9
14,0.000,336,336,336,106.584,153.606,9
15,0.000,255,255,255,124.217,157.720,9
16,0.000,350,350,350,128.136,130.291,9
17,0.000,355,355,355,113.833,130.095,9
18,0.000,303,303,303,96.787,129.899,9
19,0.000,314,314,314,98.355,118.535,9
20,0.000,409,409,409,113.245,118.927,9
21,0.000,312,312,312,129.507,123.237,9
22,0.000,276,276,276,134.993,95.416,9
23,0.000,365,365,365,120.494,95.220,9
24,0.000,300,300,300,104.428,92.281,9
25,0.000,324,324,324,105.800,83.268,9
26,0.000,425,425,425,119.907,85.032,9
27,0.000,384,384,384,135.777,89.342,9
28,0.000,334,334,334,141.067,61.129,9
29,0.000,437,437,437,127.548,61.129,9
30,0.000,362,362,362,113.049,57.602,9
31,0.000,357,357,357,116.576,50.549,9
32,0.000,482,482,482,127.744,52.116,9
33,0.000,369,369,369,142.438,55.643,9
34,0.000,476,476,476,145.377,29.585,9
35,0.000,482,482,482,133.426,29.977,9
36,0.000,384,384,384,122.650,27.821,9
