 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,325,325,325,115.400,210.424,10
2,0.000,390,390,390,126.960,203.371,10
3,0.000,240,240,240,141.654,201.804,10
4,0.000,334,334,334,136.560,179.272,10
5,0.000,487,487,487,123.629,183.387,10
6,0.000,418,418,418,109.327,185.150,10
7,0.000,171,171,171,107.759,172.611,10
8,0.000,446,446,446,121.670,170.260,10
9,0.000,310,310,310,136.952,172.219,10
10,0.000,346,346,346,136.952,147.140,10
11,0.000,394,394,394,123.629,148.120,10
12,0.000,294,294,294,110.110,147.532,10
13,0.000,206,206,206,111.678,138.520,10
14,0.000,329,329,329,123.825,138.520,10
15,0.000,271,271,271,136.952,141.263,10
16,0.000,525,525,525,141.458,118.535,10
17,0.000,306,306,306,128.136,116.184,10
18,0.000,326,326,326,114.813,113.637,10
19,0.000,198,198,198,116.380,105.408,10
20,0.000,449,449,449,130.291,105.996,10
21,0.000,408,408,408,143.418,109.327,10
22,0.000,412,412,412,147.532,85.620,10
23,0.000,325,325,325,135.777,85.228,10
24,0.000,409,409,409,121.670,82.093,10
25,0.000,361,361,361,123.433,75.040,10
26,0.000,397,397,397,135.973,76.215,10
27,0.000,404,404,404,148.708,79.154,10
28,0.000,410,410,410,151.451,56.231,10
29,0.000,428,428,428,139.303,55.839,10
30,0.000,412,412,412,127.940,53.488,10
31,0.000,200,200,200,129.311,47.806,10
32,0.000,455,455,455,138.911,48.002,10
33,0.000,380,380,380,151.843,50.549,10
34,0.000,374,374,374,154.977,29.389,10
35,0.000,484,484,484,143.418,28.801,10
36,0.000,390,390,390,132.838,27.626,10
37,0.000,370,370,370,134.405,21.748,10
38,0.000,438,438,438,144.397,21.552,10
39,0.000,267,267,267,155.369,23.903,10
40,0.000,470,470,470,157.916,4.114,10
41,0.000,457,457,457,147.532,4.114,10
42,0.000,371,371,371,137.148,2.743,10
