 ,Area,Mean,Min,Max,X,Y
1,0.000,277,277,277,136.782,182.675
2,0.000,307,307,307,149.095,176.854
3,0.000,249,249,249,161.631,172.153
4,0.000,271,271,271,154.915,150.438
5,0.000,257,257,257,144.841,155.811
6,0.000,282,282,282,127.828,159.841
7,0.000,182,182,182,124.917,145.065
8,0.000,253,253,253,137.454,143.051
9,0.000,315,315,315,153.572,141.483
10,0.000,357,357,357,151.110,116.187
11,0.000,341,341,341,140.588,119.097
12,0.000,251,251,251,125.813,118.649
13,0.000,168,168,168,125.813,107.904
14,0.000,199,199,199,140.140,107.232
15,0.000,270,270,270,149.543,107.680
16,0.000,354,354,354,154.244,87.979
17,0.000,331,331,331,141.931,83.278
18,0.000,255,255,255,128.275,81.263
19,0.000,247,247,247,131.633,71.413
20,0.000,323,323,323,142.155,72.309
21,0.000,260,260,260,154.468,75.219
22,0.000,367,367,367,160.064,55.967
23,0.000,361,361,361,150.214,51.042
24,0.000,232,232,232,135.439,47.907
25,0.000,87,87,87,142.155,38.729
26,0.000,204,204,204,151.110,41.639
27,0.000,227,227,227,161.631,45.221
28,0.000,320,320,320,168.795,20.148
29,0.000,441,441,441,156.259,19.924
30,0.000,283,283,283,143.498,16.566
