 ,Area,Mean,Min,Max,X,Y
1,0.000,197,197,197,81.911,220.484
2,0.000,311,311,311,95.402,211.233
3,0.000,158,158,158,110.242,205.451
4,0.000,106,106,106,103.496,188.105
5,0.000,269,269,269,90.005,193.309
6,0.000,188,188,188,74.779,197.549
7,0.000,109,109,109,72.467,184.443
8,0.000,265,265,265,87.885,181.745
9,0.000,245,245,245,103.304,181.360
10,0.000,211,211,211,104.075,160.159
11,0.000,340,340,340,84.416,161.894
12,0.000,430,430,430,66.878,164.592
13,0.000,220,220,220,71.696,153.221
14,0.000,222,222,222,88.271,153.992
15,0.000,288,288,288,103.111,155.148
16,0.000,150,150,150,109.086,131.442
17,0.000,348,348,348,90.005,133.370
18,0.000,130,130,130,71.503,130.864
19,0.000,179,179,179,76.129,119.493
20,0.000,209,209,209,91.547,121.998
21,0.000,220,220,220,110.820,124.119
22,0.000,208,208,208,114.675,99.834
23,0.000,308,308,308,98.100,98.100
24,0.000,197,197,197,83.260,94.823
25,0.000,239,239,239,87.500,84.031
26,0.000,178,178,178,99.449,87.885
27,0.000,197,197,197,115.446,92.318
28,0.000,186,186,186,120.457,68.227
29,0.000,212,212,212,108.315,66.492
30,0.000,92,92,92,92.511,61.867
31,0.000,87,87,87,96.173,53.579
32,0.000,138,138,138,108.507,56.663
33,0.000,174,174,174,123.155,60.903
34,0.000,184,184,184,128.744,38.739
35,0.000,150,150,150,117.373,36.233
36,0.000,128,128,128,103.304,33.342
37,0.000,56,56,56,105.616,26.597
38,0.000,108,108,108,116.987,26.982
39,0.000,144,144,144,129.322,32.379
40,0.000,88,88,88,136.453,10.600
41,0.000,90,90,90,123.540,10.600
42,0.000,64,64,64,111.013,7.516
