 ,Area,Mean,Min,Max,X,Y
1,0.000,199,199,199,113.779,209.170
2,0.000,331,331,331,123.959,205.394
3,0.000,162,162,162,135.288,202.603
4,0.000,243,243,243,126.914,185.528
5,0.000,425,425,425,118.869,190.453
6,0.000,308,308,308,110.660,194.065
7,0.000,222,222,222,108.526,190.617
8,0.000,225,225,225,116.242,186.185
9,0.000,304,304,304,125.108,182.572
10,0.000,204,204,204,116.406,166.154
11,0.000,182,182,182,110.167,170.915
12,0.000,296,296,296,101.137,175.348
13,0.000,235,235,235,98.346,172.065
14,0.000,392,392,392,105.078,167.468
15,0.000,415,415,415,112.466,164.020
16,0.000,328,328,328,104.093,150.064
17,0.000,189,189,189,97.525,153.512
18,0.000,237,237,237,90.630,157.124
19,0.000,339,339,339,87.017,152.363
20,0.000,281,281,281,93.913,149.079
21,0.000,337,337,337,101.301,147.109
22,0.000,195,195,195,94.242,133.481
23,0.000,191,191,191,88.495,136.108
24,0.000,249,249,249,81.764,140.377
25,0.000,203,203,203,77.823,134.138
26,0.000,321,321,321,85.376,130.526
27,0.000,382,382,382,91.943,128.884
28,0.000,321,321,321,88.003,118.377
29,0.000,354,354,354,81.107,120.347
30,0.000,216,216,216,74.375,123.466
31,0.000,227,227,227,78.808,117.884
32,0.000,271,271,271,83.570,116.078
33,0.000,263,263,263,88.167,114.600
34,0.000,211,211,211,86.525,106.063
35,0.000,207,207,207,80.614,106.555
36,0.000,278,278,278,74.375,110.332
37,0.000,264,264,264,74.539,104.257
38,0.000,487,487,487,80.614,100.481
39,0.000,304,304,304,87.510,101.958
40,0.000,286,286,286,88.659,92.107
41,0.000,371,371,371,81.107,93.256
42,0.000,226,226,226,74.047,95.555
43,0.000,196,196,196,73.390,88.659
44,0.000,250,250,250,80.122,88.167
45,0.000,247,247,247,87.674,88.003
46,0.000,367,367,367,85.540,75.032
47,0.000,310,310,310,80.286,76.838
48,0.000,451,451,451,73.062,80.286
49,0.000,418,418,418,70.435,73.226
50,0.000,300,300,300,75.853,70.599
51,0.000,336,336,336,84.226,68.957
52,0.000,127,127,127,83.405,56.972
53,0.000,454,454,454,76.017,59.763
54,0.000,362,362,362,68.793,62.390
