 ,Area,Mean,Min,Max,X,Y
1,0.000,704,704,704,133.489,215.562
2,0.000,599,599,599,143.191,206.831
3,0.000,839,839,839,157.354,203.532
4,0.000,974,974,974,147.071,182.578
5,0.000,864,864,864,135.624,185.100
6,0.000,608,608,608,124.758,188.980
7,0.000,370,370,370,112.923,183.936
8,0.000,410,410,410,126.116,181.607
9,0.000,570,570,570,139.504,178.503
10,0.000,517,517,517,141.056,155.608
11,0.000,544,544,544,127.086,157.354
12,0.000,541,541,541,113.893,158.130
13,0.000,506,506,506,113.893,149.205
14,0.000,470,470,470,125.340,150.563
15,0.000,289,289,289,139.892,151.146
16,0.000,538,538,538,143.579,131.355
17,0.000,524,524,524,129.609,133.295
18,0.000,697,697,697,119.907,134.653
19,0.000,354,354,354,122.042,118.743
20,0.000,387,387,387,133.101,121.654
21,0.000,338,338,338,141.250,122.624
22,0.000,535,535,535,148.817,101.281
23,0.000,428,428,428,138.728,98.953
24,0.000,584,584,584,130.579,97.983
25,0.000,269,269,269,127.086,90.804
26,0.000,275,275,275,139.116,94.684
27,0.000,768,768,768,152.892,95.266
28,0.000,536,536,536,157.742,71.595
29,0.000,494,494,494,145.907,69.849
30,0.000,450,450,450,131.937,68.685
31,0.000,411,411,411,134.265,60.730
32,0.000,599,599,599,148.623,62.476
33,0.000,591,591,591,161.235,63.252
34,0.000,497,497,497,170.354,39.581
35,0.000,679,679,679,154.832,39.969
36,0.000,460,460,460,142.026,36.283
37,0.000,457,457,457,146.295,28.910
38,0.000,341,341,341,156.578,31.238
39,0.000,786,786,786,170.548,33.372
40,0.000,551,551,551,175.787,13.388
41,0.000,672,672,672,167.832,10.671
42,0.000,234,234,234,159.877,8.343
