 ,Area,Mean,Min,Max,X,Y
1,0.000,197,197,197,199.635,444.047
2,0.000,358,358,358,208.217,445.166
3,0.000,282,282,282,217.546,449.271
4,0.000,267,267,267,227.621,425.763
5,0.000,425,425,425,214.934,423.897
6,0.000,267,267,267,204.485,420.165
7,0.000,120,120,120,207.844,412.702
8,0.000,382,382,382,218.665,415.688
9,0.000,360,360,360,229.860,419.419
10,0.000,372,372,372,238.069,395.538
11,0.000,457,457,457,225.382,392.926
12,0.000,126,126,126,214.560,387.701
13,0.000,297,297,297,217.919,384.343
14,0.000,329,329,329,230.233,388.448
15,0.000,355,355,355,240.308,391.806
16,0.000,405,405,405,250.010,371.283
17,0.000,499,499,499,238.815,367.925
18,0.000,385,385,385,226.128,366.059
19,0.000,71,71,71,228.740,359.715
20,0.000,254,254,254,239.935,362.327
21,0.000,326,326,326,251.875,366.432
22,0.000,392,392,392,260.831,345.163
23,0.000,372,372,372,244.786,343.670
24,0.000,287,287,287,232.472,338.819
25,0.000,206,206,206,234.710,335.088
26,0.000,201,201,201,248.890,339.192
27,0.000,362,362,362,263.070,340.312
28,0.000,277,277,277,264.936,319.788
29,0.000,522,522,522,250.010,320.908
30,0.000,307,307,307,236.203,319.788
31,0.000,444,444,444,236.203,311.579
32,0.000,473,473,473,253.741,314.191
33,0.000,396,396,396,265.682,313.445
34,0.000,528,528,528,266.428,296.280
35,0.000,481,481,481,252.622,296.653
36,0.000,435,435,435,240.308,300.385
37,0.000,388,388,388,235.457,293.295
38,0.000,260,260,260,248.517,292.175
39,0.000,332,332,332,260.831,290.683
40,0.000,433,433,433,260.831,273.518
41,0.000,635,635,635,249.263,276.503
42,0.000,276,276,276,233.964,281.727
43,0.000,332,332,332,231.725,273.891
44,0.000,339,339,339,243.666,271.279
45,0.000,131,131,131,254.487,268.667
46,0.000,376,376,376,252.248,252.995
47,0.000,505,505,505,240.308,255.607
48,0.000,359,359,359,229.860,260.458
49,0.000,358,358,358,227.621,254.861
50,0.000,193,193,193,239.188,250.010
51,0.000,353,353,353,247.771,247.024
52,0.000,325,325,325,239.561,228.740
53,0.000,392,392,392,231.725,235.084
54,0.000,404,404,404,223.516,240.308
55,0.000,329,329,329,218.665,236.576
56,0.000,262,262,262,228.740,230.979
57,0.000,207,207,207,236.576,227.621
58,0.000,338,338,338,226.874,213.814
59,0.000,478,478,478,220.158,219.038
60,0.000,301,301,301,211.575,224.635
61,0.000,220,220,220,204.485,222.770
62,0.000,204,204,204,214.187,216.426
63,0.000,179,179,179,221.650,211.948
64,0.000,136,136,136,211.202,198.142
65,0.000,367,367,367,205.605,204.485
66,0.000,133,133,133,198.142,210.083
67,0.000,399,399,399,193.664,204.485
68,0.000,117,117,117,202.247,200.381
69,0.000,211,211,211,207.844,197.022
70,0.000,218,218,218,197.769,187.321
71,0.000,324,324,324,191.052,189.933
72,0.000,323,323,323,186.201,194.784
73,0.000,214,214,214,180.231,190.679
74,0.000,169,169,169,186.574,186.574
75,0.000,218,218,218,191.798,184.335
76,0.000,272,272,272,182.470,172.768
77,0.000,215,215,215,176.126,176.126
78,0.000,192,192,192,173.141,179.485
79,0.000,255,255,255,169.409,173.887
80,0.000,252,252,252,174.260,171.275
81,0.000,107,107,107,179.858,169.036
82,0.000,269,269,269,173.514,158.588
83,0.000,259,259,259,167.544,160.827
84,0.000,205,205,205,162.693,163.066
85,0.000,315,315,315,161.947,157.096
86,0.000,339,339,339,167.171,154.484
87,0.000,162,162,162,172.395,153.737
88,0.000,220,220,220,168.663,143.289
89,0.000,275,275,275,162.693,145.155
90,0.000,206,206,206,158.215,147.767
91,0.000,333,333,333,157.469,142.543
92,0.000,193,193,193,162.320,141.050
93,0.000,147,147,147,167.917,140.677
94,0.000,184,184,184,164.185,129.483
95,0.000,314,314,314,158.961,130.975
96,0.000,157,157,157,154.110,132.468
97,0.000,409,409,409,151.872,129.109
98,0.000,335,335,335,157.096,126.124
99,0.000,249,249,249,161.573,126.497
100,0.000,241,241,241,159.708,114.930
101,0.000,263,263,263,154.110,114.930
102,0.000,280,280,280,150.379,117.915
103,0.000,560,560,560,148.513,113.064
104,0.000,389,389,389,153.737,110.825
105,0.000,235,235,235,158.961,111.198
106,0.000,397,397,397,156.349,98.511
107,0.000,394,394,394,150.379,99.631
108,0.000,271,271,271,146.647,101.870
109,0.000,232,232,232,147.767,96.272
110,0.000,138,138,138,153.737,95.153
111,0.000,226,226,226,157.469,94.033
112,0.000,346,346,346,156.349,80.227
113,0.000,365,365,365,152.245,80.600
114,0.000,344,344,344,148.886,87.690
