 ,Area,Mean,Min,Max,X,Y
1,0.000,511.998,511.998,511.998,208.319,444.632
2,0.000,603.992,603.992,603.992,226.133,438.815
3,0.000,319.998,319.998,319.998,241.766,435.906
4,0.000,187.993,187.993,187.993,235.586,412.275
5,0.000,197.015,197.015,197.015,221.407,414.457
6,0.000,260.003,260.003,260.003,206.501,416.274
7,0.000,294.997,294.997,294.997,205.774,402.096
8,0.000,311.018,311.018,311.018,225.043,399.914
9,0.000,94.987,94.987,94.987,236.313,401.005
10,0.000,651.002,651.002,651.002,241.039,375.919
11,0.000,353.010,353.010,353.010,223.952,375.192
12,0.000,129.980,129.980,129.980,209.410,374.102
13,0.000,364.014,364.014,364.014,213.409,361.377
14,0.000,459.002,459.002,459.002,230.496,363.195
15,0.000,340.994,340.994,340.994,241.403,367.921
16,0.000,717.995,717.995,717.995,249.765,338.836
17,0.000,282.981,282.981,282.981,234.132,336.655
18,0.000,29.005,29.005,29.005,218.135,334.110
19,0.000,303.007,303.007,303.007,223.952,323.930
20,0.000,143.008,143.008,143.008,239.585,326.475
21,0.000,652.013,652.013,652.013,252.309,330.838
22,0.000,247.018,247.018,247.018,254.491,318.841
23,0.000,154.981,154.981,154.981,243.948,309.025
24,0.000,379.993,379.993,379.993,234.132,309.025
25,0.000,555.002,555.002,555.002,233.768,301.390
26,0.000,510.986,510.986,510.986,246.129,302.481
27,0.000,733.004,733.004,733.004,255.945,302.117
28,0.000,525.995,525.995,525.995,258.490,275.941
29,0.000,404.994,404.994,404.994,246.856,275.941
30,0.000,407.018,407.018,407.018,235.949,276.304
31,0.000,368.989,368.989,368.989,237.040,271.578
32,0.000,432.989,432.989,432.989,247.583,271.578
33,0.000,511.998,511.998,511.998,256.672,271.942
34,0.000,105.021,105.021,105.021,260.671,249.037
35,0.000,364.984,364.984,364.984,249.765,247.947
36,0.000,1026.990,1026.990,1026.990,236.313,247.220
37,0.000,631.987,631.987,631.987,238.858,242.493
38,0.000,346.981,346.981,346.981,249.401,242.493
39,0.000,573.004,573.004,573.004,258.854,244.675
40,0.000,22.006,22.006,22.006,265.034,219.226
41,0.000,347.993,347.993,347.993,253.037,220.316
42,0.000,1039.006,1039.006,1039.006,237.767,220.680
43,0.000,968.008,968.008,968.008,240.312,215.227
44,0.000,788.993,788.993,788.993,251.946,215.590
45,0.000,218.981,218.981,218.981,262.489,216.317
46,0.000,570.981,570.981,570.981,267.943,194.504
47,0.000,382.986,382.986,382.986,254.854,194.140
48,0.000,609.010,609.010,609.010,242.130,193.413
49,0.000,880.018,880.018,880.018,242.493,188.323
50,0.000,577.979,577.979,577.979,255.582,189.414
51,0.000,609.010,609.010,609.010,266.488,190.868
52,0.000,286.986,286.986,286.986,269.397,170.145
53,0.000,262.997,262.997,262.997,256.309,169.055
54,0.000,137.990,137.990,137.990,241.766,168.328
55,0.000,223.998,223.998,223.998,243.221,163.965
56,0.000,467.982,467.982,467.982,255.945,164.328
57,0.000,261.985,261.985,261.985,268.670,164.692
58,0.000,237.996,237.996,237.996,269.033,145.060
59,0.000,386.991,386.991,386.991,255.945,145.060
60,0.000,769.009,769.009,769.009,242.493,145.787
61,0.000,556.983,556.983,556.983,243.221,141.061
62,0.000,367.007,367.007,367.007,255.582,140.334
63,0.000,324.003,324.003,324.003,266.488,140.334
64,0.000,379.993,379.993,379.993,266.488,121.792
65,0.000,346.011,346.011,346.011,253.400,123.246
66,0.000,876.013,876.013,876.013,240.312,124.701
67,0.000,517.985,517.985,517.985,239.585,120.338
68,0.000,247.018,247.018,247.018,254.127,119.611
69,0.000,645.984,645.984,645.984,263.580,118.884
70,0.000,883.012,883.012,883.012,259.581,99.979
71,0.000,376.999,376.999,376.999,249.765,103.614
72,0.000,954.980,954.980,954.980,237.404,105.432
73,0.000,614.996,614.996,614.996,237.767,102.160
74,0.000,573.004,573.004,573.004,249.401,98.888
75,0.000,577.979,577.979,577.979,260.308,96.707
76,0.000,914.000,914.000,914.000,252.673,78.892
77,0.000,186.011,186.011,186.011,246.129,82.528
78,0.000,1271.986,1271.986,1271.986,234.495,86.163
79,0.000,698.980,698.980,698.980,233.768,82.891
80,0.000,87.018,87.018,87.018,244.311,78.892
81,0.000,233.021,233.021,233.021,251.219,74.166
82,0.000,190.986,190.986,190.986,242.857,62.168
83,0.000,154.011,154.011,154.011,235.222,65.077
84,0.000,606.986,606.986,606.986,227.588,69.440
85,0.000,89.000,89.000,89.000,226.497,63.986
86,0.000,236.984,236.984,236.984,232.677,61.078
87,0.000,324.003,324.003,324.003,242.130,57.442
88,0.000,382.986,382.986,382.986,231.223,44.718
89,0.000,205.996,205.996,205.996,226.133,47.626
90,0.000,609.010,609.010,609.010,218.499,53.080
91,0.000,898.021,898.021,898.021,217.044,47.263
92,0.000,406.006,406.006,406.006,223.952,43.627
93,0.000,531.982,531.982,531.982,229.769,39.628
94,0.000,933.984,933.984,933.984,221.043,27.267
95,0.000,265.990,265.990,265.990,215.590,30.539
96,0.000,506.981,506.981,506.981,207.228,34.538
97,0.000,620.983,620.983,620.983,205.774,29.812
98,0.000,322.991,322.991,322.991,211.227,26.176
99,0.000,460.014,460.014,460.014,218.499,23.631
100,0.000,692.994,692.994,692.994,209.410,12.725
101,0.000,329.990,329.990,329.990,202.502,15.269
102,0.000,756.994,756.994,756.994,195.594,18.178
